index,X,Y,Z,t
67,-0.0326026231,-0.00212377124,0.7975039,146858226345
68,-0.0398487449,-0.003946862,0.804414868,146858226345
69,-0.0418856256,-0.00511071365,0.8059608,146858226345
70,-0.0432697,0.0022111265,0.800784647,146858226345
71,-0.02575689,-0.00167068839,0.7901214,146858226345
72,-0.0358229168,-0.0010026684,0.800187349,146858226345
73,-0.04097833,0.00176002458,0.799398243,146858226345
74,-0.04204323,0.0591739751,0.7969888,146858226345
75,-0.0415916,0.05425132,0.794986,146858226345
76,-0.0248066317,0.00101384986,0.7897506,146858226345
77,-0.0314717442,-0.000125677325,0.7962232,146858226345
78,-0.0365800336,0.00176441111,0.797706366,146858226345
79,-0.0390426368,0.0116721615,0.7935117,146858226345
80,-0.04118542,0.01399198,0.7942954,146858226345
81,-0.0242904685,0.00288776215,0.7907641,146858226345
82,-0.0306777786,0.00169899873,0.795543134,146858226345
83,-0.0345922336,0.0002319226,0.7991973,146858226345
84,-0.034708932,0.006874659,0.792837739,146858226345
85,-0.03739742,0.0173915345,0.7910495,146858226345
86,-0.0329922363,0.0569392219,0.791479647,146858226345
87,-0.0317474529,0.0465079546,0.7891177,146858226345
88,-0.0599692166,0.04959255,0.8007845,146858226345
89,-0.06666185,0.0599804446,0.8071063,146858226345
90,-0.0302775353,0.00256144535,0.795819759,146858226345
91,-0.0337274447,0.00130541157,0.7988638,146858226345
92,-0.0351759046,0.00183318835,0.797816336,146858226345
93,-0.03517717,0.013748439,0.790293455,146858226345
94,-0.03291148,0.03760811,0.790531158,146858226345
95,-0.03425029,0.06506118,0.7956113,146858226345
96,-0.0333258472,0.06077656,0.7930425,146858226345
97,-0.04296508,0.06314157,0.797865152,146858226345
98,-0.03369655,0.00177160837,0.798904061,146858226345
99,-0.0343126543,0.00184822269,0.798253953,146858226345
100,-0.0328376666,0.005089214,0.7932744,146858226345
101,-0.05936567,0.06278018,0.803088963,146858226345
102,-0.0624762252,0.06471694,0.8052644,146858226345
103,-0.08260958,0.0820161253,0.826706,146858226345
104,-0.0338588543,0.001901689,0.798778236,146858226345
105,-0.0318081565,0.003983571,0.7940539,146858226345
106,-0.0329016149,0.009974112,0.7900329,146858226345
107,-0.0214217715,0.0701471046,0.781856358,146858226345
108,-0.0211213827,0.06027761,0.776286364,146858226345
109,-0.0262016971,0.05461964,0.782176852,146858226345
110,-0.0312469359,0.06823732,0.7950639,146858226345
111,-0.0301364362,0.0640748,0.791798949,146858226345
112,-0.039104227,0.064811565,0.797486842,146858226345
113,-0.04365618,0.0682250038,0.797362745,146858226345
114,-0.0438095741,0.07291457,0.7970598,146858226345
115,-0.07766013,0.0657101646,0.820042849,146858226345
116,-0.07263634,0.06965513,0.8154508,146858226345
117,-0.0307007041,0.002988289,0.7955274,146858226345
118,-0.0284248739,0.009607982,0.7867238,146858226345
119,-0.0312273372,0.0411324836,0.7844379,146858226345
120,-0.0212586764,0.07565579,0.784576952,146858226345
121,-0.0186534543,0.0775287747,0.7827687,146858226345
122,-0.0435391553,0.0831271261,0.795719564,146858226345
123,-0.0568527,0.0684352443,0.800917268,146858226345
124,-0.05516355,0.07257848,0.7993539,146858226345
125,-0.073715426,0.0800568,0.8135535,146858226345
126,-0.0798263252,0.09308092,0.818735,146858226345
127,-0.0857015,0.06081768,0.835239232,146858226345
128,-0.08905452,0.0596904941,0.855190337,146858226345
